"","cluster"
"ZNF648",1
"ZNF654",1
"ZNF711",1
"ZNF823",1
"ZNF879",1
"ZUFSP",1
"ZXDB",1
"ABI1",2
"ACTC1",2
"ACTR6",2
"ADAM19",2
"AEBP2",2
"AGL",2
"AK4",2
"ALG6",2
"ALKBH1",2
"ANAPC13",2
"ANK2",2
"ANXA2",2
"ANXA3",2
"AP5M1",2
"ARF6",2
"ARL4A",2
"ARL8B",2
"ARMC1",2
"ARMCX2",2
"ARRDC3",2
"ASNS",2
"ASPM",2
"ATG4C",2
"ATRX",2
"AURKA",2
"AXL",2
"BAG3",2
"BAG4",2
"BCAS2",2
"BCL11A",2
"BCLAF1",2
"BET1",2
"BIRC2",2
"BLM",2
"BNC2",2
"BNIP3",2
"BNIP3L",2
"BRCA2",2
"BTBD10",2
"BUB1B",2
"C11orf82",2
"C12orf23",2
"C14orf129",2
"C18orf54",2
"C1GALT1",2
"C1orf112",2
"C3orf58",2
"C5orf43",2
"C6orf211",2
"C9orf135",2
"CA2",2
"CALB1",2
"CAMK2D",2
"CAP2",2
"CASC5",2
"CCBL2",2
"CCDC138",2
"CCDC82",2
"CCDC90B",2
"CCNA2",2
"CCNB1",2
"CCNE2",2
"CD200",2
"CD24",2
"CD9",2
"CDC23",2
"CDCA2",2
"CDH2",2
"CDK1",2
"CDK6",2
"CDKN2AIP",2
"CENPE",2
"CENPF",2
"CENPQ",2
"CFL2",2
"CLDN11",2
"CLDN12",2
"CLDN7",2
"CLDND1",2
"CLK1",2
"CNTNAP2",2
"COCH",2
"COPS3",2
"COPS4",2
"COQ3",2
"COX11",2
"CPD",2
"CPNE8",2
"CSNK1G3",2
"CXADR",2
"DBF4",2
"DCLK1",2
"DCP2",2
"DCTN4",2
"DCUN1D4",2
"DDAH1",2
"DDX20",2
"DEPDC1",2
"DEPDC1B",2
"DLGAP5",2
"DNA2",2
"DNAJC3",2
"DOK5",2
"DPYSL2",2
"DTL",2
"DTWD1",2
"DUSP6",2
"EAF2",2
"ECT2",2
"EFNA5",2
"EGLN3",2
"EIF4E3",2
"ELL2",2
"ELMOD2",2
"EML4",2
"EOMES",2
"EPB41L4B",2
"EPCAM",2
"ERCC-00002",2
"ERCC-00003",2
"ERCC-00004",2
"ERCC-00009",2
"ERCC-00022",2
"ERCC-00042",2
"ERCC-00043",2
"ERCC-00044",2
"ERCC-00046",2
"ERCC-00060",2
"ERCC-00062",2
"ERCC-00074",2
"ERCC-00092",2
"ERCC-00095",2
"ERCC-00096",2
"ERCC-00108",2
"ERCC-00111",2
"ERCC-00113",2
"ERCC-00130",2
"ERCC-00136",2
"ERCC-00145",2
"ERCC-00171",2
"ERCC6L",2
"ESCO2",2
"ESRP1",2
"ETNK1",2
"EXO1",2
"EXOC5",2
"EXTL2",2
"FABP5",2
"FAM117B",2
"FAM208A",2
"FAM35A",2
"FAR1",2
"FARSB",2
"FASTKD2",2
"FASTKD3",2
"FASTKD5",2
"FGF12",2
"FGF13",2
"FMR1",2
"FN1",2
"FZD5",2
"GCA",2
"GDAP1",2
"GDF3",2
"GLDC",2
"GMFB",2
"GOLT1B",2
"GPC6",2
"GPR160",2
"GPR89A",2
"HAS2",2
"HAUS6",2
"HDHD2",2
"HIBCH",2
"HLTF",2
"HMGN4",2
"HMMR",2
"HS6ST2",2
"IARS",2
"ID2",2
"IDE",2
"IDI1",2
"IFITM1",2
"IGDCC4",2
"IL6ST",2
"IMPAD1",2
"ITGA6",2
"ITM2A",2
"KAT7",2
"KBTBD2",2
"KIAA0528",2
"KIAA1467",2
"KIAA1524",2
"KIF18A",2
"KIF23",2
"KLHL12",2
"KPNA2",2
"L1TD1",2
"LCLAT1",2
"LECT1",2
"MAD2L1",2
"MAL2",2
"MALT1",2
"MAP1B",2
"MAP4K3",2
"MARCH7",2
"MBOAT1",2
"MED21",2
"MFAP4",2
"MIER1",2
"MOB3B",2
"MOSPD1",2
"MRS2",2
"MTERFD1",2
"MTMR2",2
"NAA15",2
"NAMPT",2
"NANOG",2
"NAP1L2",2
"NAP1L3",2
"NBN",2
"NCAPG",2
"NDC80",2
"NDUFC2-KCTD14",2
